name,version,repository,license,license-url,license-source
amcl,v0.2.0,https://github.com/milagro-crypto/amcl,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://crates.io/api/v1/crates/amcl (normalized)
anoncreds-clsignatures,v0.3.3,https://github.com/hyperledger/anoncreds-clsignatures-rs,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/hyperledger/anoncreds-clsignatures-rs (normalized)
autocfg,v1.3.0,https://github.com/cuviper/autocfg,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/autocfg
bitflags,v2.5.0,https://github.com/bitflags/bitflags,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/bitflags
block-buffer,v0.10.4,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/block-buffer
byteorder,v1.5.0,https://github.com/BurntSushi/byteorder,Unlicense OR MIT,UNKNOWN,https://crates.io/api/v1/crates/byteorder
cc,v1.0.98,https://github.com/rust-lang/cc-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/cc
cfg-if,v1.0.0,https://github.com/alexcrichton/cfg-if,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/cfg-if
core2,v0.4.0,https://github.com/bbqsrc/core2,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/core2
cpufeatures,v0.2.12,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/cpufeatures
crypto-common,v0.1.6,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crypto-common
digest,v0.10.7,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/digest
foreign-types,v0.3.2,https://github.com/sfackler/foreign-types,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/foreign-types
foreign-types-shared,v0.1.1,https://github.com/sfackler/foreign-types,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/foreign-types-shared
generic-array,v0.14.7,https://github.com/fizyk20/generic-array.git,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/generic-array (normalized)
getrandom,v0.2.15,https://github.com/rust-random/getrandom,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/getrandom
glass_pumpkin,v1.7.0,https://github.com/mikelodder7/glass_pumpkin,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://crates.io/api/v1/crates/glass_pumpkin (normalized)
itoa,v1.0.11,https://github.com/dtolnay/itoa,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/itoa
libc,v0.2.155,https://github.com/rust-lang/libc,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/libc
log,v0.4.22,https://github.com/rust-lang/log,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/log
memchr,v2.7.2,https://github.com/BurntSushi/memchr,Unlicense OR MIT,UNKNOWN,https://crates.io/api/v1/crates/memchr
num-bigint,v0.4.6,https://github.com/rust-num/num-bigint,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num-bigint
num-integer,v0.1.46,https://github.com/rust-num/num-integer,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num-integer
num-traits,v0.2.19,https://github.com/rust-num/num-traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num-traits
once_cell,v1.19.0,https://github.com/matklad/once_cell,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/once_cell
openssl,v0.10.64,https://github.com/sfackler/rust-openssl,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://crates.io/api/v1/crates/openssl (normalized)
openssl-macros,v0.1.1,UNKNOWN,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/openssl-macros
openssl-sys,v0.9.102,https://github.com/sfackler/rust-openssl,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/openssl-sys (normalized)
paste,v1.0.15,https://github.com/dtolnay/paste,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/paste
