name,version,language,repository,license,license-url,license-source
@ethereumjs/rlp,5.0.2,js,https://github.com/ethereumjs/ethereumjs-monorepo,MPL-2.0,https://spdx.org/licenses/MPL-2.0.html,https://github.com/ethereumjs/ethereumjs-monorepo/blob/master/packages/rlp/LICENSE (normalized)
@ethereumjs/trie,6.2.1,js,https://github.com/ethereumjs/ethereumjs-monorepo,MPL-2.0,https://spdx.org/licenses/MPL-2.0.html,https://github.com/ethereumjs/ethereumjs-monorepo/tree/27e2c0276e25b8b5d29615752c56e2563fe1ca1e/packages/trie (normalized)
@ethereumjs/util,9.1.0,js,https://github.com/ethereumjs/ethereumjs-monorepo,MPL-2.0,https://spdx.org/licenses/MPL-2.0.html,https://github.com/ethereumjs/ethereumjs-monorepo/blob/master/packages/util/LICENSE (normalized)
@ethersproject/asm,5.7.0,js,https://github.com/ethers-io/ethers.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@hashgraph/json-rpc-config-service,0.60.0-SNAPSHOT,js,,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,Unknown (normalized)
@hashgraph/json-rpc-relay,0.60.0-SNAPSHOT,js,,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,Unknown (normalized)
@hashgraph/json-rpc-server,0.60.0-SNAPSHOT,js,,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,Unknown (normalized)
@hashgraph/json-rpc-ws-server,0.60.0-SNAPSHOT,js,,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,Unknown (normalized)
@hashgraph/sdk,2.51.0,js,https://github.com/hashgraph/hedera-sdk-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@keyvhq/core,1.6.26,js,https://github.com/microlinkhq/keyv,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
axios,1.7.3,js,https://github.com/axios/axios,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
axios-retry,3.9.1,js,https://github.com/softonic/axios-retry,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://www.npmjs.com/package/axios-retry (normalized)
better-lookup,1.4.1,js,https://github.com/ayonli/better-lookup,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
buffer,6.0.3,js,https://github.com/feross/buffer,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
co-body,6.2.0,js,https://github.com/cojs/co-body,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
dotenv,16.4.5,js,https://github.com/motdotla/dotenv,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause.html,npm show (normalized)
ethers,6.13.2,js,https://github.com/ethers-io/ethers.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
find-config,1.0.0,js,https://github.com/shannonmoeller/find-config,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
keccak,3.0.3,js,https://github.com/cryptocoinjs/keccak,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
keyv,4.5.4,js,https://github.com/jaredwray/keyv,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
keyv-file,0.3.3,js,https://github.com/zaaack/keyv-file,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
koa,2.15.3,js,https://github.com/koajs/koa,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
koa-body-parser,0.2.1,js,https://github.com/koajs/body-parser,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
koa-cors,0.0.16,js,https://github.com/evert0n/koa-cors,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
koa-logger,3.2.1,js,https://github.com/koajs/logger,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
koa-router,13.0.1,js,https://github.com/koajs/router,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
koa-websocket,7.0.0,js,https://github.com/kudos/koa-websocket,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
lerna,8.1.8,js,https://github.com/lerna/lerna,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
lodash,4.17.21,js,https://github.com/lodash/lodash,MIT,https://spdx.org/licenses/MIT.html,https://www.npmjs.com/package/lodash (normalized)
lru-cache,7.18.3,js,https://github.com/isaacs/node-lru-cache,ISC,https://spdx.org/licenses/ISC.html,npm show (normalized)
pino,7.11.0,js,https://github.com/pinojs/pino,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
pino-pretty,7.6.1,js,https://github.com/pinojs/pino-pretty,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
pnpm,8.15.9,js,https://github.com/pnpm/pnpm,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
prom-client,14.2.0,js,https://github.com/siimon/prom-client,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
redis,4.7.0,js,https://github.com/redis/node-redis,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
rlp,3.0.0,js,https://github.com/ethereumjs/ethereumjs-monorepo,MPL-2.0,https://spdx.org/licenses/MPL-2.0.html,https://www.npmjs.com/package/rlp (normalized)
uuid,3.4.0,js,https://github.com/uuidjs/uuid,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
